,codes,names
1520,VDT,CTCP Lưới thép Bình Tây
1521,VE1,CTCP Xây dựng Điện VNECO 1
1522,VE2,CTCP Xây dựng Điện VNECO 2
1523,VE3,CTCP Xây dựng Điện VNECO 3
1524,VE4,CTCP Xây dựng Điện VNECO4
1525,VE8,CTCP Xây dựng Điện VNECO 8
1526,VE9,CTCP Đầu tư và Xây dựng VNECO 9
1527,VEA,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP
1528,VEC,Tổng Công ty cổ phần Điện tử và Tin học Việt Nam
1529,VEF,CTCP Trung tâm Hội chợ Triển lãm Việt Nam
1530,VES,CTCP Đầu tư và Xây dựng Điện Mêca Vneco
1531,VET,CTCP Thuốc thú y Trung ương Navetco
1532,VFC,CTCP Vinafco
1533,VFG,CTCP Khử trùng Việt Nam
1534,VFR,CTCP Vận tải và Thuê tàu
1535,VFS,CTCP Chứng khoán Nhất Việt
1536,VGC,Tổng Công ty Viglacera - CTCP
1537,VGG,Tổng Công ty cổ phần May Việt Tiến
1538,VGI,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel
1539,VGL,CTCP Mạ Kẽm Công Nghiệp Vingal - Vnsteel
1540,VGP,CTCP Cảng Rau Quả
1541,VGR,CTCP Cảng Xanh Vip
1542,VGS,CTCP Ống thép Việt Đức VG PIPE
1543,VGT,Tập đoàn Dệt May Việt Nam
1544,VGV,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP
1545,VHC,CTCP Vĩnh Hoàn
1546,VHD,CTCP Đầu tư Phát triển Nhà và Đô Thị Vinaconex
1547,VHE,CTCP Dược liệu và Thực phẩm Việt Nam
1548,VHF,CTCP Xây dựng và Chế biến Lương thực Vĩnh Hà
1549,VHG,CTCP Đầu tư Cao su Quảng Nam
1550,VHH,CTCP Đầu tư Kinh doanh Nhà Thành Đạt
1551,VHI,CTCP Kinh doanh và Đầu tư Việt Hà
1552,VHL,CTCP Viglacera Hạ Long
1553,VHM,CTCP Vinhomes
1554,VIB,Ngân hàng TMCP Quốc tế Việt Nam
1555,VIC,Tập đoàn VINGROUP - CTCP
1556,VID,CTCP Đầu tư Phát triển Thương mại Viễn Đông
1557,VIE,CTCP Công nghệ Viễn thông VITECO
1558,VIF,Tổng Công ty Lâm nghiệp Việt Nam - CTCP
1559,VIG,CTCP Chứng khoán Thương mại và Công nghiệp Việt Nam
1560,VIH,CTCP Viglacera Hà Nội
1561,VIM,CTCP Khoáng sản Viglacera
1562,VIN,CTCP Giao nhận Kho vận Ngoại Thương Việt Nam
1563,VIP,CTCP Vận tải Xăng dầu Vipco
1564,VIR,CTCP Du lịch Quốc tế Vũng Tàu
1565,VIS,CTCP Thép Việt Ý
1566,VIT,CTCP Viglacera Tiên Sơn
1567,VIW,Tổng Công ty Đầu tư Nước và Môi trường Việt Nam
1568,VIX,CTCP Chứng khoán VIX
1569,VJC,CTCP Hàng không Vietjet
1570,VKC,CTCP Cáp - Nhựa Vĩnh Khánh
1571,VKD,CTCP Nước khoáng Khánh Hòa - FIT Beverage
1572,VKP,CTCP Nhựa Tân Hóa
1573,VLA,CTCP Đầu tư và Phát triển Công nghệ Văn Lang
1574,VLB,CTCP Xây dựng và Sản xuất Vật liệu xây dựng Biên Hòa
1575,VLC,Tổng Công ty Chăn Nuôi Việt Nam - CTCP
1576,VLF,CTCP Lương thực Thực phẩm Vĩnh Long
1577,VLG,CTCP Vinalines Logistics - Việt Nam
1578,VLP,CTCP Công trình Công cộng Vĩnh Long
1579,VLW,CTCP Cấp nước Vĩnh Long
1580,VMA,CTCP Công nghiệp Ô tô - Vinacomin
1581,VMC,CTCP Vimeco
1582,VMD,CTCP Y Dược phẩm Vimedimex
1583,VMG,CTCP Thương mại và Dịch vụ Dầu khí Vũng Tàu
1584,VMI,CTCP Khoáng sản và Đầu tư Visaco
1585,VMS,CTCP Phát triển Hàng Hải
1586,VNA,CTCP Vận tải Biển Vinaship
1587,VNB,CTCP Sách Việt Nam
1588,VNC,CTCP Tập đoàn Vinacontrol
1589,VND,CTCP Chứng khoán VNDirect
1590,VNE,Tổng Công ty cổ phần Xây dựng Điện Việt Nam
1591,VNF,CTCP Vinafreight
1592,VNG,CTCP Du lịch Thành Thành Công
1593,VNH,CTCP Đầu tư Việt Việt Nhật
1594,VNI,CTCP Đầu tư Bất động sản Việt Nam
1595,VNL,CTCP Logistics Vinalink
1596,VNM,CTCP Sữa Việt Nam
1597,VNP,CTCP Nhựa Việt Nam
1598,VNR,Tổng Công ty cổ phần Tái Bảo hiểm Quốc gia Việt Nam
1599,VNS,CTCP Ánh Dương Việt Nam
1600,VNT,CTCP Giao nhận Vận tải Ngoại thương
1601,VNX,CTCP Quảng cáo và Hội chợ Thương mại
1602,VNY,CTCP Thuốc thú y Trung ương I
1603,VOC,Tổng Công ty Công Nghiệp Dầu Thực Vật Việt Nam - CTCP
1604,VOS,CTCP Vận tải Biển Việt Nam
1605,VPA,CTCP Vận tải Hoá Dầu VP
1606,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng
1607,VPC,CTCP Đầu tư và Phát triển Năng lượng Việt Nam
1608,VPD,CTCP Phát triển Điện lực Việt Nam
1609,VPG,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát
1610,VPH,CTCP Vạn Phát Hưng
1611,VPI,CTCP Đầu tư Văn Phú - INVEST
1612,VPR,CTCP VinaPrint
1613,VPS,CTCP Thuốc sát trùng Việt Nam (VIPESCO)
1614,VPW,CTCP Cấp thoát nước Số 1 Vĩnh Phúc
1615,VQC,CTCP Giám định - Vinacomin
1616,VRC,CTCP Bất động sản và Đầu tư VRC
1617,VRE,CTCP Vincom Retail
1618,VRG,CTCP Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam
1619,VSA,CTCP Đại lý Hàng hải Việt Nam
1620,VSC,CTCP Container Việt Nam
1621,VSE,CTCP Dịch vụ Đường cao tốc Việt Nam
1622,VSF,Tổng Công ty Lương thực Miền Nam - CTCP
1623,VSG,CTCP Container Phía Nam
1624,VSH,CTCP Thủy điện Vĩnh Sơn - Sông Hinh
1625,VSI,CTCP Đầu tư và Xây dựng Cấp thoát nước
1626,VSM,CTCP Container Miền Trung
1627,VSN,CTCP Việt Nam Kỹ nghệ Súc sản
1628,VSP,CTCP Vận tải biển và Bất động sản Việt Hải
1629,VST,CTCP Vận tải và Thuê tàu biển Việt Nam
1630,VTA,CTCP Vitaly
1631,VTB,CTCP Viettronics Tân Bình
1632,VTC,CTCP Viễn thông VTC
1633,VTD,CTCP Du lịch Vietourist
1634,VTE,CTCP Viễn thông Điện tử VINACAP
1635,VTG,CTCP Du lịch Tỉnh Bà Rịa - Vũng Tàu
1636,VTH,CTCP Dây cáp Điện Việt Thái
1637,VTI,CTCP Sản xuất - Xuất nhập khẩu Dệt may
1638,VTJ,CTCP Thương mại và Đầu tư VI NA TA BA
1639,VTK,CTCP Tư vấn Thiết kế Viettel
1640,VTL,CTCP Vang Thăng Long
1641,VTM,CTCP Vận tải và Đưa đón thợ mỏ - VINACOMIN
1642,VTO,CTCP Vận tải Xăng dầu Vitaco
1643,VTP,Tổng Công ty cổ phần Bưu chính Viettel
1644,VTR,CTCP Du lịch và Tiếp thị Giao thông Vận tải Việt Nam - Vietravel
1645,VTS,CTCP Viglacera Từ Sơn
1646,VTV,CTCP Năng lượng và Môi trường VICEM
1647,VTX,CTCP Vận tải Đa Phương Thức Vietranstimex
1648,VVN,Tổng Công ty cổ phần Xây dựng Công nghiệp Việt Nam
1649,VW3,CTCP Viwaseen3
1650,VWS,CTCP Nước và Môi Trường Việt Nam
1651,VXB,CTCP Vật liệu Xây dựng Bến Tre
1652,VXP,CTCP Thuốc Thú y Trung ương VETVACO
1653,VXT,CTCP Kho vận và Dịch vụ Thương mại
1654,WCS,CTCP Bến xe Miền Tây
1655,WSB,CTCP Bia Sài Gòn - Miền Tây
1656,WSS,CTCP Chứng khoán Phố Wall
1657,WTC,CTCP Vận tải Thủy - Vinacomin
1658,X20,CTCP X20
1659,X26,CTCP 26
1660,X77,CTCP Thành An 77
1661,XDH,CTCP Đầu tư Xây dựng Dân dụng Hà Nội
1662,XHC,CTCP Xuân Hòa Việt Nam
1663,XLV,CTCP Xây Lắp và Dịch vụ Sông Đà
1664,XMC,CTCP Đầu tư và Xây dựng Xuân Mai
1665,XMD,CTCP Xuân Mai - Đạo Tú
1666,XPH,CTCP Xà phòng Hà Nội
1667,YBC,CTCP Xi măng và Khoáng sản Yên Bái
1668,YBM,CTCP Khoáng sản Công nghiệp Yên Bái
1669,YEG,CTCP Tập đoàn Yeah1
1670,YRC,CTCP Đường sắt Yên Lào
1671,YTC,CTCP Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh
1672,126IBC,CTCP Đầu tư Kinh doanh và Xây dựng 126
1673,3TAudit,Công ty TNHH Dịch vụ Tài chính - Kế toán và Kiểm toán 3T
1674,AA,Công ty TNHH Kiểm toán Mỹ
1675,AAAA,CTCP Bảo hiểm AAA
1676,AAAT,"Công ty TNHH Dịch vụ Kiểm toán, Kế toán và Tư vấn Thuế AAT"
1677,AAC,Công ty TNHH Kiểm toán và Kế toán AAC
1678,AACA,Công ty TNHH Tư vấn và Kiểm toán Á Châu
1679,AACC,Công ty TNHH Kế toán Kiểm toán Tư vấn Việt Nam
1680,AACVN,Công ty TNHH Kiểm toán - Tư vấn Định giá ACC Việt Nam
1681,AAFC,Công ty TNHH Tư vấn Tài chính Kế toán và Kiểm toán Việt Nam
1682,AASC,Công ty TNHH Hãng Kiểm toán AASC
1683,AASCN,Công ty TNHH Dịch vụ Tư vấn Tài chính Kinh tế và Kiểm toán Nam Việt
1684,AASCS,Công ty TNHH Dịch vụ Tư vấn Tài chính Kế toán và Kiểm toán Phía Nam
1685,AAT,CTCP Tiên Sơn Thanh Hóa
1686,AAUS,CTCP Chứng khoán Á - Âu
1687,ABBS,CTCP Chứng khoán An Bình
1688,ABBVietNam,Công ty TNHH Kiểm toán A.B.B Việt Nam
1689,ABFM,CTCP Quản lý Quỹ đầu tư Chứng khoán An Bình
1690,ACAGroup,Công ty TNHH Kiểm toán và Tư vấn Tài chính
1691,ACBC,Công ty TNHH MTV Quản lý Quỹ ACB
1692,ACBS,Công ty TNHH Chứng khoán ACB
1693,ACCCO,CTCP Tư vấn Kiến trúc và Xây dựng Thành phố Hồ Chí Minh
1694,ACELife,Công ty TNHH Bảo hiểm Nhân thọ ACE
1695,ACELifeFMC,Công ty TNHH MTV Quản lý Quỹ ACE LIFE
1696,ACGroup,Công ty TNHH Tư vấn và Kiểm toán Quốc tế
1697,ACHAU,CTCP Tơ tằm Á Châu
1698,AChauAudit,Công ty TNHH Kiểm toán Quốc tế Á Châu
1699,Aclii,CTCP Cho thuê Tài chính II Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam
1700,ACPA,Công ty TNHH Kiểm toán và Tư vấn Nexia ACPA
1701,ACSVN,CTCP ACS Việt Nam
1702,ACVietNam,Công ty TNHH Tài chính và Kiểm toán Việt Nam
1703,AEAAudit,Công ty TNHH Kiểm toán Đông Á
1704,AECS,CTCP Tư vấn Xây dựng và Dịch vụ Hàng Không
1705,AFC,CTCP Nông Lâm nghiệp Bình Dương
1706,AFCAudit,Công ty TNHH Kiểm toán AFC Việt Nam
1707,AFCC,Công ty TNHH Kiểm toán và Tư vấn Tài chính A.F.C.C
1708,AFCVietNam,Công ty TNHH Kiểm toán và Tư vấn Tài chính Kế toán Việt Nam
1709,AFCVietnamFund,Quỹ AFC Vietnam Fund
1710,AFPAudit,Công ty TNHH Kiểm toán và Tư vấn AFP
1711,AFVI,Công ty TNHH Kiểm toán Tư vấn Tài chính và Đầu tư Việt Nam
1712,AGC,CTCP Cà phê An Giang
1713,AGD,CTCP Gò Đàng
1714,Agribank,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam
1715,AGRIMECO,Tổng Công ty Cơ điện Xây dựng - CTCP
1716,AgrimexcoCaMau,CTCP Xuất nhập khẩu Nông sản Thực phẩm Cà Mau
1717,AGRITOUR,CTCP Du lịch Thương mại Nông nghiệp Việt Nam
1718,AGROMAS,CTCP Cơ điện Nông Nghiệp và Thủy Lợi II
1719,AGTourimex,CTCP Du lịch An Giang
1720,AIA,Công ty TNHH Bảo hiểm Nhân thọ AIA (Việt Nam)
1721,AICA,Công ty TNHH Tư vấn - Kiểm toán Liên Minh Quốc tế
1722,AICapital,Công ty Quản lý Quỹ đầu tư A.I Capital
1723,Airserco,CTCP Cung ứng Dịch vụ Hàng Không
1724,AISC,Công ty TNHH Kiểm toán và Dịch vụ Tin học
1725,AITS,CTCP Tin học Viễn thông Hàng không
1726,ALC,CTCP Âu Lạc
1727,ALP,CTCP Đầu tư Alphanam
1728,ALS,CTCP Logistics Hàng không
1729,AMIC,CTCP Đầu tư AMIC
1730,ANCO,CTCP Dinh dưỡng Nông nghiệp Quốc tế
1731,AnCuong,CTCP Gỗ An Cường
1732,AnGiangDT,Công ty TNHH MTV Môi trường Đô thị An Giang
1733,AnPhatAudit,Công ty TNHH Kiểm toán và Kế toán An Phát
1734,AnphatCapital,CTCP Quản lý Quỹ Đầu tư Merlin
1735,AnPhu,CTCP An Phú
1736,AnPhuCorp,CTCP Đầu tư Bất động sản An Phú
1737,AnPhuGroup,Công ty TNHH Kiểm toán An Phú
1738,Anresco,CTCP Địa ốc An Giang
1739,ANZB,Ngân hàng TNHH MTV ANZ Việt Nam
1740,AON,Công ty TNHH AON Việt Nam
1741,APBAudit,Công ty TNHH Kiểm toán và Kế toán A.P.B
1742,ApecAudit,Công ty TNHH Kiểm toán APEC
1743,Aplaco,CTCP Nhựa Cao Cấp Hàng Không
1744,APRest,CTCP Thương mại Đầu tư Bất động sản An Phát
1745,APSC,CTCP Chứng khoán Alpha
1746,Artexport,CTCP Xuất nhập khẩu Thủ công mỹ nghệ
1747,ArtexSaigon,CTCP Xuất nhập khẩu Hàng tiểu thủ công nghiệp Sài Gòn
1748,ASCAudit,Công ty TNHH Kiểm toán ASC
1749,ASCH,CTCP Hóa chất Á Châu
1750,ASCO,Công ty TNHH Kiểm toán ASCO
1751,ASCS,CTCP Chứng khoán ASC
1752,ASCSaiGon,CTCP Đầu tư Nông nghiệp ASC Sài Gòn
1753,AseanAudit,Công ty TNHH Kiểm toán và Tư vấn ASEAN
1754,ASIACorp,CTCP Châu Á
1755,ASIAGF,Quỹ đầu tư Tăng trưởng ACB
1756,ASNAF,Công ty TNHH Kiểm toán ASNAF VN
1757,ATAAudit,Công ty TNHH Kiểm toán Quốc tế ATA
1758,ATAX,Công ty TNHH Kiểm toán và Tư vấn Thuế ATAX
1759,ATC,CTCP Sản xuất - Thương mại - Xuất nhập khẩu Viễn Thông A
1760,ATICVietnam,Công ty TNHH Kiểm toán Tư vấn Việt Nam
1761,ATSC,CTCP Chứng khoán An Thành
1762,AUDI,Công ty TNHH Kiểm toán - Tư vấn Thuế
1763,AuditConsult,Công ty TNHH Kiểm toán và Tư vấn A&C
1764,AuLac,Công ty TNHH Kiểm toán Âu Lạc
1765,Auto15,CTCP Ô tô 1-5
1766,AVA,Công ty TNHH Kiểm toán và Thẩm định giá Việt Nam
1767,AVICO,Công ty TNHH Kiểm toán AVICO
1768,Avicon,CTCP Công trình Hàng không
1769,AVINA,"Công ty TNHH Tư vấn Thuế, Kế toán và Kiểm toán Việt Nam"
1770,AVS,CTCP Chứng khoán Âu Việt
1771,AzureCity,CTCP Thành Phố Xanh
1772,BacGiang,CTCP Xuất nhập Khẩu Bắc Giang
1773,BachHoa,CTCP Tổng Bách hóa
1774,BachViet,CTCP Công nghệ và Đầu tư Bách Việt
1775,BAF,CTCP Thủy sản Bình An
1776,BAFECO,CTCP Thức ăn Chăn nuôi Bạc Liêu
1777,BAM,CTCP Khoáng sản và Luyện kim Bắc Á
1778,BaoBi277,Công ty TNHH MTV Bao Bì 277 Hà Nội
1779,BaoBiDuoc,CTCP Bao bì Dược
1780,BaoHoLaoDong,CTCP Tạp phẩm và Bảo hộ Lao động
1781,BaoVietBank,Ngân hàng TMCP Bảo Việt
1782,BaoVietResort,CTCP Khách Sạn và Du Lịch Bảo Việt
1783,Barotex,CTCP Thương mại và Đầu tư Barotex Việt Nam
1784,BAS,CTCP Basa
1785,Baseafood,CTCP Chế biến Xuất nhập khẩu Thủy sản Bà Rịa - Vũng Tàu
1786,BAV,CTCP Hàng không Tre Việt
1787,BBL,CTCP Bourbon Bến Lức
1788,BCEL,Ngân hàng Ngoại Thương Lào
1789,BCEL-KT,BCEL-KT Securities Co. LTD
1790,BCI,Công ty TNHH MTV Đầu tư Kinh doanh Nhà Khang Phúc
1791,BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico
1792,BDC,Tổng Công ty Xây dựng Bạch Đằng - CTCP
1793,BDF,CTCP Giày Bình Định
1794,BDMienTrung,CTCP Xây lắp Bưu điện Miền Trung
1795,BDOAudit,Công ty TNHH Kiểm toán BDO
1796,BDP,CTCP Biệt thự và Khách sạn biển Đông Phương
1797,BDS,CTCP Đường Bình Định
1798,BDSDKVN,CTCP Bất động sản Dầu khí Việt Nam
1799,BDSThanhNien,CTCP Bất động sản Thanh Niên
1800,BecamexCMC,CTCP Vật liệu Xây dựng Becamex
1801,BenhVienGiaoThong,CTCP Bệnh viện Giao thông Vận tải
1802,Benthanhhouse,CTCP Phát triển và Dịch vụ Nhà Bến Thành
1803,Beta,CTCP Chứng khoán Beta
1804,BeTongHaiAu,CTCP Bê tông Hải Âu
1805,BGM,CTCP Khai Thác và Chế Biến khoáng Sản Bắc Giang
1806,BHAAC,Công ty TNHH Kiểm toán và Kế toán Biên Hoà
1807,BHDienMay,CTCP Bách hóa Điện máy Sài Gòn
1808,BHS,Công ty TNHH MTV Đường TTC Biên Hòa - Đồng Nai
1809,BiaCanTho,CTCP Bia Nước giải khát Cần Thơ
1810,BiaSaiGonDongNai,CTCP Bia Sài Gòn - Đồng Nai
1811,BiaSaiGonHaNam,CTCP Bia Sài Gòn - Hà Nam
1812,BiaSaiGonPhuYen,CTCP Bia Sài Gòn - Phú Yên
1813,BiaSaiGonQuyNhon,CTCP Bia Sài Gòn - Quy Nhơn
1814,BiaVietHa,CTCP Bia và Nước giải khát Việt Hà
1815,BikeThongNhat,Công ty TNHH MTV Thống Nhất
1816,BinhDien,CTCP Thủy điện Bình Điền
1817,BinhDinh,CTCP Vật tư Kỹ thuật Nông nghiệp Bình Định
1818,BinhTriThien,CTCP Lương thực Bình Trị Thiên
1819,Biprica,CTCP In và Bao bì Bình Định
1820,BJC,CTCP VRG - Bảo Lộc
1821,Bluechipfund,Quỹ đầu tư Cổ phiếu Hàng đầu VCBF
1822,BM9,CTCP Đầu tư Xây dựng 319 Miền Nam
1823,BMJC,CTCP Xây dựng và Sản xuất Vật liệu Xây dựng
1824,BNC,CTCP Dịch vụ Cáp treo Bà Nà
1825,BongSen,CTCP Bông Sen
1826,BOT741,CTCP Kinh doanh BOT đường ĐT.741
1827,BOTRM,Công ty TNHH B.O.T Cầu Rạch Miễu
1828,BPMC,CTCP Vật tư Xăng dầu Bình Thuận
1829,Britec,CTCP Tư vấn Thiết kế Cầu Lớn - Hầm
1830,BSMCorp,CTCP Phần mềm Giải pháp Quảnlý Mã vạch
1831,BTC,CTCP Cơ khí và Xây dựng Bình Triệu
1832,BTCom,CTCP Đầu tư Thương mại Bến Thành
1833,BTJ,CTCP Vàng bạc Đá quý Bến Thành
1834,BTL,CTCP Tập đoàn Capella
1835,BTWASECO,CTCP Cấp thoát nước Bình Thuận
1836,BuuDienCM,CTCP Xây lắp và Dịch vụ Bưu điện Cà Mau
1837,BVA,CTCP Sản xuất và Thương mại Bắc Việt
1838,BVC,CTCP Nhựa Bảo Vân
1839,BVF1,Quỹ đầu tư Chứng khoán Bảo Việt
1840,BVFED,Quỹ đầu tư Cổ phiếu Năng động Bảo Việt
1841,BVFMC,Công ty TNHH Quản lý Quỹ Bảo Việt
1842,BVIM,Công ty Liên doanh Quản lý Quỹ đầu tư BIDV - VIETNAM PARTNERS
1843,BXBTQuangNinh,Công ty TNHH MTV Bến Xe - Bến Tàu Quảng Ninh
1844,BXD,CTCP Vận tải và Quản lý Bến xe Đà Nẵng
1845,C42,CTCP Xây dựng Thủy lợi 42
1846,CAA,Công ty TNHH Tư vấn và Kiểm toán CA&A
1847,CADICO,CTCP Cadico
1848,Cafatex,CTCP Thủy sản Cafatex
1849,CafeControl,CTCP Giám định Cà phê và Hàng Hoá Xuất nhập khẩu
1850,CAGLOBAL,Công ty TNHH Kiểm toán và Tư vấn Toàn cầu
1851,CamRanh,CTCP Thương mại Hàng không Cam Ranh
1852,CangVatCach,CTCP Cảng Vật Cách
1853,CanHoNamLong,CTCP Phát triển Căn hộ Nam Long
1854,CanhXuanAudit,Công ty TNHH Kiểm toán Cảnh Xuân
1855,CaoSuBinhDuong,CTCP Cao su Bình Dương
1856,CAPHEDALAT,Công ty TNHH MTV Xuất nhập khẩu Cà phê Đà Lạt
1857,CapitaLand,Công ty TNHH Quản lý Bất động sản CapitalLand
1858,CapNuocCanTho2,CTCP Cấp nước Cần Thơ II
1859,CapNuocNghiaLo,Công ty TNHH Xây dựng Cấp thoát nước Nghĩa Lộ
1860,CapNuocYenBai,Công ty TNHH MTV Cấp nước Yên Bái
1861,CapQuang,CTCP Công nghệ Cáp quang và Thiết bị Bưu điện
1862,CapVietNhat,CTCP Đầu tư Thương mại Việt Nhật
1863,Caric,CTCP Caric
1864,CASHIN,CTCP Công nghiệp Tàu thủy và Vận tải Cần Thơ
1865,CASOCO,CTCP Cảng Phú Định
1866,CathayLife,Công ty TNHH Bảo hiểm Nhân thọ Cathay - Việt Nam
1867,CatTuongAudit,Công ty Kiểm toán Cát Tường VAI
1868,Cau14,CTCP Cầu 14 - Cienco 1
1869,CauGiay,CTCP Đầu tư Thương mại Dịch vụ Cầu Giấy
1870,CauTre,CTCP Thực phẩm CJ Cầu Tre
1871,Cavicob,CTCP Cavico Xây dựng Cầu Hầm
1872,CavicoEc,CTCP Xây dựng Năng lượng
1873,CavicoGiaoThong,CTCP CAVICO Giao thông
1874,CavicoHaTang,CTCP Cavico Xây dựng Hạ tầng
1875,CavicoHC,CTCP Cavico Xây dựng Thủy điện
1876,CavicoVN,CTCP Xây dựng và Đầu Tư Cavico Việt Nam
1877,CayTrong,CTCP Giống cây trồng Quảng Ninh
1878,CC7,CTCP Xây dựng Công trình Giao thông 710
1879,CCN2,CTCP Xây dựng Số 2 Quảng Ninh
1880,CeFiC,Công Ty Tài chính Cổ phần Tín Việt
1881,CemacoHanoi,CTCP Hóa chất và Vật tư Khoa học Kỹ thuật
1882,CER,CTCP Địa chính và Tài nguyên Môi trường
1883,CGP,CTCP Dược phẩm Cần Giờ
1884,CheBienLamSan,Công ty Vận tải và Chế biến Lâm sản
1885,CheBienThucPham,Xí Nghiệp Kinh doanh Gia súc Gia cầm và Chế biến Thực phẩm
1886,CheLamDong,CTCP Chè Lâm Đồng
1887,ChieuSang,CTCP Điện - Chiếu sáng
1888,CHIN2,CTCP Chín Chín Núi
1889,ChipSang,CTCP Chíp Sáng
1890,ChoLonTourist,CTCP Dịch vụ Du lịch Chợ lớn
1891,ChuanVang,Công ty TNHH Kiểm toán Chuẩn Vàng
1892,CHUBBLIFE,Công ty TNHH MTV Quản lý Quỹ CHUBB LIFE
1893,CHULAIQN,CTCP Đầu tư và Phát triển Kỳ Hà - Chu Lai Quảng Nam
1894,CIC,CTCP Đầu tư và Xây dựng Cotec
1895,CIC1,CTCP Xây dựng Dân dụng Công nghiệp Số 1 - Đồng Nai
1896,CIC8,CTCP Đầu tư và Xây dựng Số 8
1897,CICP1,CTCP Tư vấn Đầu tư và Xây dựng Công trình 1
1898,CIE,CTCP Đầu tư và Xây dựng Công trình 128
1899,CIENCO1,Tổng Công ty Xây dựng Công trình Giao thông 1 - CTCP
1900,CIENCO473,CTCP 473
1901,CIENCO5,Tổng Công ty Xây dựng Công trình Giao thông 5 - CTCP
1902,CIENCO503,CTCP Xây dựng Giao thông 503
1903,CIENCO610,CTCP Xây dựng Công trình Giao thông 610
1904,CIENCO624,CTCP Vật tư Thiết bị và Xây dựng Công trình 624
1905,CIENCO8,Tổng Công ty Xây dựng Công trình Giao thông 8 - CTCP
1906,Ciencoland,CTCP Đầu tư Xây dựng và Kinh doanh Bất động sản Tổng Sáu
1907,CIMB,Công ty TNHH Chứng khoán CIMB-VINASHIN
1908,Cistra,CTCP Dịch vụ Thương mại Thành Phố
1909,CIV,CTCP Đầu tư Vinamotor
1910,CJC203,CTCP Xây dựng 203
1911,CK8,CTCP Cơ khí 120
1912,CKI,CTCP Cơ khí ngành In
1913,CKTAYNINH,CTCP Cơ khí Tây Ninh
1914,CLP,CTCP Thủy sản Cửu Long
1915,CLS,CTCP Chứng khoán Chợ Lớn
1916,CMCHanoi,CTCP Vật liệu Xây dựng Hà Nội
1917,CNH,CTCP Cảng Nha Trang
1918,CO122,CTCP Xây dựng và Đầu tư 122 - Cienco 1
1919,CoKhiDuyenHai,Công ty TNHH Nhà nước MTV Cơ khí Duyên Hải
1920,CoKhiHonGai,CTCP Cơ khí Hòn Gai - Vinacomin
1921,CokhiNgoGiaTu,CTCP Cơ khí Ngô Gia Tự
1922,CoKhiOTo32,CTCP Cơ khí Ô Tô 3-2
1923,COMPT,"Công ty TNHH Tư vấn Đầu tư, Tài chính, Kế toán Thuế - Kiểm toán COM.PT"
1924,ConDao,CTCP Thủy sản và Xuất nhập khẩu Côn Đảo
1925,CongNgheCao,CTCP Công nghệ Cao
1926,CongNghiepMasan,CTCP Công nghiệp Masan
1927,CongNghiepPhuYen,CTCP Công nghiệp Phú Yên
1928,CongThanh,CTCP Xi măng Công Thanh
1929,CongTrinh134,CTCP Đầu tư và Xây dựng Công trình 134
1930,CongTrinh525,CTCP Xây dựng Công trình 525
1931,CongTrinhBuuDien,CTCP Phát triển Công trình Bưu điện
1932,CongTrinhGTDB,CTCP Công trình Giao thông Tỉnh Điện Biên
1933,CongTrinhHaNoi,CTCP Đầu Tư Công trình Hà Nội
1934,CongTy118,CTCP 118
1935,CONSTRAD423,CTCP Xây dựng và Thương mại 423
1936,CoopBank,Ngân hàng Hợp tác xã Việt Nam
1937,COPAC,CTCP Đầu Tư Xây dựng và Thương mại Thái Bình Dương
1938,Coresco,CTCP Đầu Tư Xây dựng Kinh doanh Nhà Bến Thành
1939,Cosaco,CTCP Sài Gòn Xây dựng
1940,Cosevco1,CTCP Sản xuất Vật liệu và Xây dựng Cosevco 1
1941,Cosevco75,CTCP Cosevco 75
1942,COT60,CTCP Công trình Giao thông 60
1943,Cotec,CTCP Kỹ thuật Xây dựng và Vật liệu Xây dựng COTEC
1944,CotecAnpha,CTCP Kỹ thuật Xây dựng Anpha
1945,COXANO,CTCP Cơ khí Xây dựng Công trình Thừa Thiên Huế
1946,CPAHaNoi,Công ty Kiểm toán và Kế toán Hà Nội
1947,CPAHCM,Công ty TNHH Kiểm toán và Tư vấn CPA HCM
1948,CPAVietNam,Công ty Hợp danh Kiểm toán Việt Nam
1949,CPHACO,CTCP Đầu tư Xây dựng Chánh Phú Hòa
1950,CPT,CTCP Xây lắp Bưu điện
1951,CSCJ,CTCP Chứng khoán Thủ Đô
1952,CSG,CTCP Cáp Sài Gòn
1953,CST124,CTCP Xây dựng Giao thông và Thương mại 124
1954,CT185,Công ty TNHH MTV 185
1955,CTCCorp,CTCP Đô thị Du lịch Cần Giờ
1956,CTE,CTCP Hạ Tầng Viễn Thông CMC
1957,CTGT,CTCP Công trình Giao thông Tỉnh Bà Rịa - Vũng Tàu
1958,CTM,CTCP Đầu tư Xây dựng và Khai thác mỏ Vinavico
