,codes,names
452,FCN,CTCP FECON
453,FCS,CTCP Lương thực Thành phố Hồ Chí Minh
454,FDC,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh
455,FDG,CTCP Docimexco
456,FGL,CTCP Cà phê Gia Lai
457,FHN,CTCP Xuất nhập khẩu Lương thực Thực phẩm Hà Nội
458,FHS,CTCP Phát hành Sách Thành phố Hồ Chí Minh
459,FIC,Tổng Công ty Vật liệu Xây dựng số 1 - CTCP
460,FID,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam
461,FIR,CTCP Địa ốc First Real
462,FIT,CTCP Tập đoàn F.I.T
463,FLC,CTCP Tập đoàn FLC
464,FMC,CTCP Thực phẩm Sao Ta
465,FOC,CTCP Dịch vụ Trực tuyến FPT
466,FOX,CTCP Viễn thông FPT
467,FPT,CTCP FPT
468,FRC,CTCP Lâm đặc sản Xuất khẩu Quảng Nam
469,FRM,CTCP Lâm Nghiệp Sài Gòn
470,FRT,CTCP Bán lẻ Kỹ thuật số FPT
471,FSO,CTCP Cơ khí đóng tàu Thủy sản Việt Nam
472,FT1,CTCP Phụ tùng Máy số 1
473,FTI,CTCP Công nghiệp - Thương mại Hữu Nghị
474,FTM,CTCP Đầu tư và Phát triển Đức Quân
475,FTS,CTCP Chứng khoán FPT
476,FUCTVGF1,Quỹ đầu tư Tăng trưởng TVAM
477,FUCTVGF2,Quỹ Đầu tư tăng trưởng Thiên Việt 2
478,FUCVREIT,Quỹ đầu tư Bất động sản Techcom Việt Nam
479,FUEMAV30,Chứng chỉ Quỹ ETF MAFM VN30
480,FUESSV30,Quỹ ETF SSIAM VN30
481,FUESSV50,Quỹ ETF SSIAM VNX50
482,FUESSVFL,Quỹ ETF SSIAM VNFIN LEAD
483,FUEVFVND,Quỹ ETF VFMVN DIAMOND
484,FUEVN100,Quỹ ETF VINACAPITALVN100
485,G20,CTCP Đầu tư Dệt may Vĩnh Phúc
486,G36,Tổng Công ty 36 - CTCP
487,GAB,CTCP Đầu tư Khai Khoáng và Quản lý Tài sản FLC
488,GAS,Tổng Công ty Khí Việt Nam - CTCP
489,GCB,CTCP Petec Bình Định
490,GDT,CTCP Chế biến Gỗ Đức Thành
491,GDW,CTCP Cấp nước Gia Định
492,GEG,CTCP Điện Gia Lai
493,GER,CTCP Thể thao Ngôi sao Geru
494,GEX,Tổng Công ty cổ phần Thiết bị Điện Việt Nam
495,GGG,CTCP Ô tô Giải Phóng
496,GHC,CTCP Thủy điện Gia Lai
497,GIC,CTCP Đầu tư Dịch vụ và Phát triển Xanh
498,GIL,CTCP Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh
499,GKM,CTCP Khang Minh Group
500,GLC,CTCP Vàng Lào Cai
501,GLT,CTCP Kỹ thuật Điện Toàn cầu
502,GLW,CTCP Cấp thoát nước Gia Lai
503,GMA,CTCP Enteco Việt Nam
504,GMC,CTCP Garmex Sài Gòn
505,GMD,CTCP Gemadept
506,GMX,CTCP Gạch ngói Gốm Xây dựng Mỹ Xuân
507,GND,CTCP Gạch ngói Đồng Nai
508,GQN,Trung tâm Giống Thủy sản Quảng Nam
509,GSM,CTCP Thủy điện Hương Sơn
510,GSP,CTCP Vận tải Sản Phẩm Khí Quốc tế
511,GTA,CTCP Chế biến gỗ Thuận An
512,GTD,CTCP Giầy Thượng Đình
513,GTH,CTCP Xây dựng - Giao thông Thừa Thiên Huế
514,GTK,CTCP Giầy Thụy Khê
515,GTN,CTCP GTNFoods
516,GTS,CTCP Công trình Giao thông Sài Gòn
517,GTT,CTCP Thuận Thảo
